
2020-11-25 00:15:41.3138||DEBUG|MedicalBillingApi.Program|init main |url: |action: 

2020-11-25 00:15:42.7651|30000|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No type was specified for the decimal column 'Quantity' on entity type 'DrugStore'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values using 'HasColumnType()'. |url: |action: 

2020-11-25 00:15:42.7761|30000|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No type was specified for the decimal column 'ItemPrice' on entity type 'InvoiceItem'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values using 'HasColumnType()'. |url: |action: 

2020-11-25 00:15:42.7761|30000|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No type was specified for the decimal column 'Quantity' on entity type 'InvoiceItem'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values using 'HasColumnType()'. |url: |action: 

2020-11-25 00:15:42.7761|30000|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No type was specified for the decimal column 'AmountPaid' on entity type 'Receipt'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values using 'HasColumnType()'. |url: |action: 

2020-11-25 00:15:42.7761|30000|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No type was specified for the decimal column 'Price' on entity type 'Service'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values using 'HasColumnType()'. |url: |action: 

2020-11-25 00:15:43.4379||DEBUG|MedicalBillingApi.Extensions.MigrationManager|Migration applied sucessfully |url: |action: 

2020-11-25 00:17:01.4072||DEBUG|MedicalBillingApi.Program|init main |url: |action: 

2020-11-25 00:17:02.9531|30000|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No type was specified for the decimal column 'Quantity' on entity type 'DrugStore'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values using 'HasColumnType()'. |url: |action: 

2020-11-25 00:17:02.9643|30000|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No type was specified for the decimal column 'ItemPrice' on entity type 'InvoiceItem'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values using 'HasColumnType()'. |url: |action: 

2020-11-25 00:17:02.9643|30000|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No type was specified for the decimal column 'Quantity' on entity type 'InvoiceItem'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values using 'HasColumnType()'. |url: |action: 

2020-11-25 00:17:02.9643|30000|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No type was specified for the decimal column 'AmountPaid' on entity type 'Receipt'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values using 'HasColumnType()'. |url: |action: 

2020-11-25 00:17:02.9643|30000|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No type was specified for the decimal column 'Price' on entity type 'Service'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values using 'HasColumnType()'. |url: |action: 

2020-11-25 00:17:03.6097||DEBUG|MedicalBillingApi.Extensions.MigrationManager|Migration applied sucessfully |url: |action: 

2020-11-25 00:29:01.6466||DEBUG|MedicalBillingApi.Program|init main |url: |action: 

2020-11-25 00:29:02.3730|30000|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No type was specified for the decimal column 'Quantity' on entity type 'DrugStore'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values using 'HasColumnType()'. |url: |action: 

2020-11-25 00:29:02.3826|30000|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No type was specified for the decimal column 'ItemPrice' on entity type 'InvoiceItem'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values using 'HasColumnType()'. |url: |action: 

2020-11-25 00:29:02.3826|30000|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No type was specified for the decimal column 'Quantity' on entity type 'InvoiceItem'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values using 'HasColumnType()'. |url: |action: 

2020-11-25 00:29:02.3826|30000|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No type was specified for the decimal column 'AmountPaid' on entity type 'Receipt'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values using 'HasColumnType()'. |url: |action: 

2020-11-25 00:29:02.3826|30000|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No type was specified for the decimal column 'Price' on entity type 'Service'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values using 'HasColumnType()'. |url: |action: 

2020-11-25 00:29:03.6974||DEBUG|MedicalBillingApi.Extensions.MigrationManager|Migration applied sucessfully |url: |action: 

2020-11-25 00:59:54.2249||WARN|Microsoft.AspNetCore.Identity.UserManager|Invalid password for user 5563f9b1-753d-44fd-9134-84b0dd018782. |url: https://localhost/api/auth/login|action: Post

2020-11-25 01:03:08.0695||DEBUG|MedicalBillingApi.Program|init main |url: |action: 

2020-11-25 01:03:09.5221|30000|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No type was specified for the decimal column 'Quantity' on entity type 'DrugStore'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values using 'HasColumnType()'. |url: |action: 

2020-11-25 01:03:09.5221|30000|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No type was specified for the decimal column 'ItemPrice' on entity type 'InvoiceItem'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values using 'HasColumnType()'. |url: |action: 

2020-11-25 01:03:09.5221|30000|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No type was specified for the decimal column 'Quantity' on entity type 'InvoiceItem'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values using 'HasColumnType()'. |url: |action: 

2020-11-25 01:03:09.5221|30000|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No type was specified for the decimal column 'AmountPaid' on entity type 'Receipt'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values using 'HasColumnType()'. |url: |action: 

2020-11-25 01:03:09.5221|30000|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No type was specified for the decimal column 'Price' on entity type 'Service'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values using 'HasColumnType()'. |url: |action: 

2020-11-25 01:03:10.1673||DEBUG|MedicalBillingApi.Extensions.MigrationManager|Migration applied sucessfully |url: |action: 
